movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,nationsNm,genreNm,directors_ko,directors_en,actors_ko,actors_en,cast,castEn,watchGradeNm
20203146,늙은 부부이야기: 스테이지 무비,The Story of an Old Couple : STAGE MOVIE,98,2020,20200819,['한국'],['공연'],['신태연'],['SHIN Tae-yeon'],[],[],[],[],['12세이상관람가']
20206822,프록시마 프로젝트,Proxima,107,2019,20201015,['프랑스'],['드라마'],['앨리스 위노코'],['Alice Winocour'],"['에바 그린', '맷 딜런']","['Eva Green ', 'Matt Dillon']","['', '']","['', '']",['12세이상관람가']
20206680,예티: 신비한 동물 탐험대,Mission Kathmandu,84,2017,20201008,['캐나다'],['애니메이션'],"['피에르 그레코', '낸시 플로렌스 사바드']","['Pierre Greco', 'Nancy Florence Savard']","['이다은', '박성영']","['', '']","['넬리', '사이먼']","['', '']",['전체관람가']
20204202,마르지엘라,Martin Margiela: In His Own Words,90,2019,20200930,['기타'],['다큐멘터리'],['라이너 홀제메르'],['Reiner Holzemer'],"['마틴 마르지엘라', '장 폴 고티에', '카린 로이펠드']","['Martin Margiela', 'Jean Paul Gaultier', 'Carine Roitfeld']","['', '', '']","['', '', '']",['전체관람가']
20198307,루주,Rouge,17,2018,,['한국'],['드라마'],['주재훈'],['JOO Jae-hoon'],[],[],[],[],[]
20200505,투표,Vote,21,2019,,['한국'],['드라마'],['김형남'],['Kim Hyeong Nam'],[],[],[],[],[]
20191947,흙금성,Difference of Success between The poor and The Rich,11,2019,,['한국'],['드라마'],['신영'],['ShinYoung'],[],[],[],[],[]
20200492,개정,The Crossroad Within Me,18,2020,,['한국'],['드라마'],['강준하'],['Kang Jun-ha'],['지웅배'],['JI Woong-bae'],[''],[''],[]
20200491,빅샤크3: 젤리몬스터 대소동,Happy Little Submarine: Space Pals,76,2019,20200729,['중국'],['애니메이션'],['신우'],['Shen Yu'],"['정의한', '원에스더', '김진홍', '김경희', '손선영']","['', '', '', 'KIM Kyoung-hee', '']","['빅샤크', '꾸꾸', '물범대장', '올리', '베스']","['', '', '', '', '']",['전체관람가']
20188362,더 프린세스 : 도둑맞은 공주,The Stolen Princess,88,2018,20200812,['우크라이나'],"['애니메이션', '판타지']",['올레말라므'],['Oleh Malamuzh'],"['사문영', '남도형', '서반석', '홍진욱', '이창민', '허성재']","['SA Mun-yeong', 'NAM Do-hyung', '', 'HONG Jin-wook', '', '']","['밀라', '루슬란', '레스터', '체르노머', '핀', '필라프']","['', '', '', '', '', '']",['전체관람가']
20158525,병구,Allergy,22,2015,,['한국'],['드라마'],['형슬우'],['HYUNG Seul-woo'],"['공민정', '서현우']","['GONG Min-jeong', 'SEO Hyun-woo']","['민지', '병구']","['', '']",[]
20148594,풍진,Road and Mountain,19,2014,,['한국'],['드라마'],['이현빈'],['LEE Hyun-bin'],[],[],[],[],[]
20206684,에브리타임 아이 다이,Every Time I Die,97,2019,20201021,['미국'],"['미스터리', '스릴러']",['로비 마이클'],['Robi Michael'],"['드류 폰테이로', '마크 멘차카', '미셀 마세도']","['Drew Fonteiro', 'Marc Menchaca', 'Michelle Macedo']","['', '', '']","['', '', '']",['15세이상관람가']
20208170,통신사를 바꾼 이유,Reason for Switching the Mobile Service Provider,16,2020,,['한국'],['드라마'],['이채형'],[''],"['신지우', '차유주', '박정연']","['SHIN Ji-woo', '', '']","['주연', '원영', '해송']","['', '', '']",[]
