movieNm,naverScore
밥정,9.61
그린 북,9.60
가버나움,9.59
디지몬 어드벤처 라스트 에볼루션 : 인연,9.54
베일리 어게인,9.53
원더,9.53
아일라,9.52
극장판 바이올렛 에버가든,9.50
먼 훗날 우리,9.50
당갈,9.49
포드 V 페라리,9.48
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.48
주전장,9.47
쇼생크 탈출,9.45
터미네이터 2:오리지널,9.44
클래식,9.43
라이언 일병 구하기,9.43
덕구,9.43
나 홀로 집에,9.43
월-E,9.42
보헤미안 랩소디,9.42
빽 투 더 퓨쳐,9.41
사운드 오브 뮤직,9.41
포레스트 검프,9.41
잭 스나이더의 저스티스 리그,9.41
위대한 쇼맨,9.41
글래디에이터,9.41
타이타닉,9.41
인생은 아름다워,9.40
헬프,9.40
살인의 추억,9.40
매트릭스,9.40
가나의 혼인잔치: 언약,9.40
센과 치히로의 행방불명,9.39
토이 스토리 3,9.39
캐스트 어웨이,9.39
헌터 킬러,9.39
집으로...,9.38
반지의 제왕: 왕의 귀환,9.38
태극권,9.38
죽은 시인의 사회,9.38
어벤져스: 엔드게임,9.38
히든 피겨스,9.38
레옹,9.38
알라딘,9.38
쉰들러 리스트,9.37
아이 캔 스피크,9.37
클레멘타인,9.37
동주,9.37
안녕 베일리,9.37
여인의 향기,9.37
서유기 2 - 선리기연,9.36
미스 슬로운,9.36
굿 윌 헌팅,9.36
다시 태어나도 우리,9.36
트루먼 쇼,9.36
굿바이 마이 프랜드,9.36
주토피아,9.36
지상의 별처럼,9.35
아이즈 온 미 : 더 무비,9.35
반지의 제왕: 두 개의 탑,9.35
모노노케 히메,9.35
해리 포터와 마법사의 돌,9.35
세 얼간이,9.35
"지금, 만나러 갑니다",9.35
나 홀로 집에 2 - 뉴욕을 헤매다,9.35
더 록,9.34
에이리언 2,9.34
아기공룡 둘리 - 얼음별 대모험,9.34
울지마 톤즈,9.34
미세스 다웃파이어,9.34
다크 나이트,9.34
아마데우스,9.34
알라딘,9.34
빌리 엘리어트,9.33
로망,9.33
언터처블: 1%의 우정,9.33
그대를 사랑합니다,9.33
아이 엠 샘,9.33
달링,9.33
피아니스트,9.33
시네마 천국,9.33
아이언 자이언트,9.33
자산어보,9.33
라푼젤,9.33
프리 윌리,9.33
언더독,9.33
두 교황,9.33
오세암,9.33
업,9.32
프리퀀시,9.32
드래곤 길들이기,9.32
소원,9.32
천공의 성 라퓨타,9.32
해리 포터와 죽음의 성물 - 2부,9.32
토이 스토리,9.32
블라인드 사이드,9.32
러브 유어셀프 인 서울,9.32
주먹왕 랄프,9.32
모던 타임즈,9.32
코코,9.32
늑대와 춤을,9.32
쥬라기 공원,9.31
패왕별희 디 오리지널,9.31
브레이크 더 사일런스: 더 무비,9.31
우리들의 일그러진 영웅,9.31
에이 아이,9.31
코러스,9.31
폴리스 스토리,9.31
메리 포핀스,9.31
번 더 스테이지: 더 무비,9.31
폴란드로 간 아이들,9.31
소울,9.31
엽기적인 그녀,9.31
뷰티풀 투모로우,9.31
라따뚜이,9.30
록키,9.30
다이 하드,9.30
바이센테니얼 맨,9.30
바람계곡의 나우시카,9.30
반지의 제왕: 반지 원정대,9.30
타잔,9.30
8월의 크리스마스,9.30
시월애,9.30
몬스터 주식회사 3D,9.29
오페라의 유령 : 25주년 특별 공연,9.29
라이온 킹,9.29
허스토리,9.29
교회오빠,9.29
"나, 다니엘 블레이크",9.29
일급 살인,9.29
천녀유혼,9.29
내 이름은 칸,9.29
보디가드,9.29
12번째 솔저,9.29
영웅: 샐러멘더의 비밀,9.29
뽀로로 극장판 보물섬 대모험,9.29
동방불패,9.29
언플랜드,9.29
플립,9.29
자백,9.28
인생,9.28
우리들,9.28
퀸 락 몬트리올,9.28
취권 2,9.28
천국의 아이들,9.28
공동경비구역 JSA,9.28
빌리 엘리어트 뮤지컬 라이브,9.28
명탐정 코난: 베이커가의 망령,9.28
극장판 귀멸의 칼날: 무한열차편,9.28
세상에서 가장 아름다운 이별,9.27
더 코브: 슬픈 돌고래의 진실,9.27
말할 수 없는 비밀,9.27
맨발의 꿈,9.27
바람,9.27
마이클 잭슨의 디스 이즈 잇,9.27
에이트 빌로우,9.27
브레이브하트,9.27
랜드 오브 마인,9.26
도가니,9.26
"미안해요, 리키",9.26
소년시절의 너,9.26
가타카,9.26
이웃집 토토로,9.26
드래곤 길들이기 3,9.26
또 하나의 약속,9.26
본 얼티메이텀,9.25
터미네이터,9.25
온리 더 브레이브,9.25
신데렐라 맨,9.25
패밀리 맨,9.25
토이 스토리 2,9.25
로마의 휴일,9.25
로보캅,9.25
브링 더 소울 : 더 무비,9.25
가위손,9.25
해바라기,9.25
동급생,9.25
피아니스트의 전설,9.25
