DAY,FLIGHT,TIME,DATE_FROM,DATE_TO,AIRLINE,DESTINATION
월요일,8Y601,6:15,2021-03-31,2021-10-26,팬퍼시픽항공,세부
월요일,KE5679,6:20,2021-03-31,2021-10-26,대한항공,나트랑
월요일,8Y701,6:20,2021-03-31,2021-10-26,팬퍼시픽항공,칼리보
월요일,VN441,6:20,2021-03-31,2021-10-26,베트남항공,나트랑
월요일,OZ8533,6:30,2021-03-31,2021-10-26,아시아나항공,부산
월요일,7C2201,6:30,2021-03-31,2021-10-26,제주항공,방콕
월요일,TG6705,6:30,2021-03-31,2021-10-26,타이항공,부산
월요일,TW205,6:45,2021-03-31,2021-04-03,티웨이항공,도쿄/ 나리타
월요일,VJ865,6:45,2021-03-31,2021-10-26,비엣젯항공,호찌민
월요일,VJ879,7:00,2021-03-31,2021-10-26,비엣젯항공,다낭
월요일,LJ221,7:05,2021-03-31,2021-04-01,진에어,후쿠오카
월요일,7C1304,7:10,2021-03-31,2021-10-26,제주항공,오사카/ 간사이
월요일,LJ261,7:10,2021-03-31,2021-10-26,진에어,기타큐슈
월요일,KE5783,7:10,2021-03-31,2021-10-26,대한항공,기타큐슈
월요일,LJ077,7:20,2021-03-31,2021-04-26,진에어,다낭
월요일,KE5789,7:20,2021-03-31,2021-04-26,대한항공,다낭
월요일,LJ201,7:25,2021-03-31,2021-04-26,진에어,도쿄/ 나리타
월요일,KE5741,7:25,2021-03-31,2021-04-26,대한항공,도쿄/ 나리타
월요일,TW669,7:25,2021-03-31,2021-10-21,티웨이항공,타이중/칭촨강
월요일,TW297,7:25,2021-03-31,2021-10-26,티웨이항공,오이타
월요일,OZ731,7:35,2021-03-31,2021-07-04,아시아나항공,호찌민
월요일,ZE621,7:40,2021-03-31,2021-10-26,이스타항공,삿포로
월요일,TW201,7:45,2021-03-31,2021-10-26,티웨이항공,도쿄/ 나리타
월요일,LJ211,7:50,2021-03-31,2021-04-26,진에어,오사카/ 간사이
월요일,LJ081,7:50,2021-03-31,2021-05-06,진에어,타이베이
월요일,KE621,7:50,2021-03-31,2021-04-15,대한항공,마닐라
월요일,KE5755,7:50,2021-03-31,2021-05-06,대한항공,타이베이
월요일,NH6952,7:55,2021-03-31,2021-10-26,전일본공수 주식회사,오사카/ 간사이
월요일,OZ112,7:55,2021-03-31,2021-10-26,아시아나항공,오사카/ 간사이
월요일,5J181,7:55,2021-03-31,2021-10-26,세부퍼시픽항공,칼리보
월요일,CZ4530,8:00,2021-03-31,2021-04-21,중국남방항공,정저우
월요일,ZE601,8:00,2021-03-31,2021-10-26,이스타항공,도쿄/ 나리타
월요일,KE809,8:00,2021-03-31,2021-04-21,대한항공,정저우
월요일,TW281,8:00,2021-03-31,2021-04-02,티웨이항공,오사카/ 간사이
월요일,OZ701,8:05,2021-03-31,2021-07-04,아시아나항공,마닐라
월요일,CZ4516,8:05,2021-03-31,2021-10-26,중국남방항공,선양
월요일,ZE881,8:05,2021-03-31,2021-10-25,이스타항공,타이베이
월요일,KE831,8:05,2021-03-31,2021-10-26,대한항공,선양
월요일,DL7696,8:10,2021-03-31,2021-10-26,델타항공,하노이
월요일,KE479,8:10,2021-03-31,2021-10-26,대한항공,하노이
월요일,PR467,8:10,2021-03-31,2021-07-17,필리핀항공,마닐라
월요일,VN3415,8:10,2021-03-31,2021-10-26,베트남항공,하노이
월요일,NH6964,8:15,2021-03-31,2021-10-26,전일본공수 주식회사,나고야
월요일,OZ122,8:15,2021-03-31,2021-10-26,아시아나항공,나고야
월요일,CA5002,8:20,2021-03-31,2021-10-26,중국국제항공,베이징
월요일,OZ331,8:20,2021-03-31,2021-10-26,아시아나항공,베이징
월요일,7C8401,8:20,2021-03-31,2021-10-26,제주항공,칭다오
월요일,LJ231,8:20,2021-03-31,2021-06-09,진에어,삿포로
월요일,AF7901,8:25,2021-03-31,2021-10-26,에어 프랑스,부산
월요일,DL7879,8:25,2021-03-31,2021-10-26,델타항공,부산
월요일,KE1401,8:25,2021-03-31,2021-10-26,대한항공,부산
월요일,PR489,8:25,2021-03-31,2021-10-26,필리핀항공,칼리보
월요일,MU8357,8:30,2021-03-31,2021-04-27,중국동방항공,상하이/ 푸동
월요일,CZ4510,8:30,2021-03-31,2021-04-27,중국남방항공,상하이/ 푸동
월요일,7C1102,8:30,2021-03-31,2021-10-26,제주항공,도쿄/ 나리타
월요일,KE893,8:30,2021-03-31,2021-04-27,대한항공,상하이/ 푸동
월요일,PR485,8:30,2021-03-31,2021-10-26,필리핀항공,세부
월요일,FM8752,8:30,2021-03-31,2021-04-27,상하이항공,상하이/ 푸동
월요일,OZ369,8:40,2021-03-31,2021-10-25,아시아나항공,광저우
월요일,CZ4540,8:40,2021-03-31,2021-10-26,중국남방항공,선전
월요일,ZE641,8:40,2021-03-31,2021-10-24,이스타항공,후쿠오카
월요일,KE827,8:40,2021-03-31,2021-10-26,대한항공,선전
월요일,NH6962,8:45,2021-03-31,2021-10-26,전일본공수 주식회사,후쿠오카
월요일,OZ132,8:45,2021-03-31,2021-10-26,아시아나항공,후쿠오카
월요일,ZE611,8:45,2021-03-31,2021-10-26,이스타항공,오사카/ 간사이
월요일,CZ4502,8:50,2021-03-31,2021-10-26,중국남방항공,광저우
월요일,KE865,8:50,2021-03-31,2021-10-26,대한항공,광저우
월요일,CA5014,8:55,2021-03-31,2021-10-26,중국국제항공,톈진
월요일,OZ327,8:55,2021-03-31,2021-10-26,아시아나항공,톈진
월요일,CA5016,9:00,2021-03-31,2021-10-26,중국국제항공,옌지(연길)
월요일,NZ4060,9:00,2021-03-31,2021-10-25,에어 뉴질랜드,도쿄/ 나리타
월요일,NH6998,9:00,2021-03-31,2021-10-26,전일본공수 주식회사,삿포로
월요일,NH6972,9:00,2021-03-31,2021-10-25,전일본공수 주식회사,도쿄/ 나리타
월요일,OZ721,9:00,2021-03-31,2021-10-26,아시아나항공,홍콩
월요일,OZ174,9:00,2021-03-31,2021-10-26,아시아나항공,삿포로
월요일,OZ361,9:00,2021-03-31,2021-10-26,아시아나항공,상하이/ 푸동
월요일,OZ6781,9:00,2021-03-31,2021-10-26,아시아나항공,싱가포르
월요일,OZ102,9:00,2021-03-31,2021-10-25,아시아나항공,도쿄/ 나리타
월요일,OZ351,9:00,2021-03-31,2021-10-26,아시아나항공,옌지(연길)
월요일,MU8365,9:00,2021-03-31,2021-10-25,중국동방항공,창사
월요일,CZ4522,9:00,2021-03-31,2021-10-25,중국남방항공,창사
월요일,ET1294,9:00,2021-03-31,2021-10-26,에티오피아항공,삿포로
월요일,EY8453,9:00,2021-03-31,2021-10-25,에티하드 항공,도쿄/ 나리타
월요일,HX1551,9:00,2021-03-31,2021-10-26,홍콩항공,홍콩
월요일,KE819,9:00,2021-03-31,2021-10-25,대한항공,창사
월요일,SQ607,9:00,2021-03-31,2021-10-26,싱가포르항공,싱가포르
월요일,SA7171,9:00,2021-03-31,2021-10-26,남아프리카항공,홍콩
월요일,UA7306,9:00,2021-03-31,2021-10-26,유나이티드항공,홍콩
월요일,UA7318,9:00,2021-03-31,2021-10-25,유나이티드항공,도쿄/ 나리타
월요일,VA5407,9:00,2021-03-31,2021-10-26,베네주엘라 국제항공,싱가포르
월요일,CA5012,9:05,2021-03-31,2021-10-26,중국국제항공,다롄
월요일,CA5010,9:05,2021-03-31,2021-10-26,중국국제항공,칭다오
월요일,OZ301,9:05,2021-03-31,2021-10-26,아시아나항공,다롄
월요일,OZ317,9:05,2021-03-31,2021-10-26,아시아나항공,칭다오
월요일,DL7894,9:05,2021-03-31,2021-05-28,델타항공,방콕
월요일,HA6009,9:05,2021-03-31,2021-05-28,하와이안 항공,방콕
월요일,7C2601,9:05,2021-03-31,2021-10-26,제주항공,타이베이
월요일,9W4660,9:05,2021-03-31,2021-05-28,제트 에어웨이즈,방콕
월요일,KE657,9:05,2021-03-31,2021-05-28,대한항공,방콕
월요일,SC317,9:05,2021-03-31,2021-10-26,산동항공,칭다오
월요일,DL7934,9:10,2021-03-31,2021-10-26,델타항공,호찌민
월요일,ZE931,9:10,2021-03-31,2021-10-26,이스타항공,홍콩
월요일,7C1302,9:10,2021-03-31,2021-10-26,제주항공,오사카/ 간사이
월요일,KE681,9:10,2021-03-31,2021-10-26,대한항공,호찌민
월요일,VN3403,9:10,2021-03-31,2021-10-26,베트남항공,호찌민
월요일,MU8301,9:15,2021-03-31,2021-10-26,중국동방항공,시안
월요일,KE805,9:15,2021-03-31,2021-10-26,대한항공,톈진
월요일,KE807,9:15,2021-03-31,2021-10-26,대한항공,시안
월요일,OZ303,9:20,2021-03-31,2021-10-26,아시아나항공,창춘
월요일,CZ4202,9:20,2021-03-31,2021-10-26,중국남방항공,창춘
월요일,DL7851,9:20,2021-03-31,2021-10-26,델타항공,애틀랜타
월요일,DL7869,9:20,2021-03-31,2021-04-29,델타항공,댈러스
월요일,KE035,9:20,2021-03-31,2021-10-26,대한항공,애틀랜타
월요일,KE031,9:20,2021-03-31,2021-04-29,대한항공,댈러스
월요일,7C3402,9:30,2021-03-31,2021-10-26,제주항공,사이판
월요일,LJ113,9:30,2021-03-31,2021-10-26,진에어,홍콩
월요일,NH6982,9:35,2021-03-31,2021-10-25,전일본공수 주식회사,센다이
월요일,OZ6761,9:35,2021-03-31,2021-10-26,아시아나항공,방콕
월요일,OZ152,9:35,2021-03-31,2021-10-25,아시아나항공,센다이
월요일,DL7698,9:35,2021-03-31,2021-10-26,델타항공,오사카/ 간사이
월요일,JL5210,9:35,2021-03-31,2021-10-26,일본항공,오사카/ 간사이
월요일,7C1402,9:35,2021-03-31,2021-06-30,제주항공,후쿠오카
월요일,KE723,9:35,2021-03-31,2021-10-26,대한항공,오사카/ 간사이
월요일,KE073,9:35,2021-03-31,2021-10-26,대한항공,토론토
월요일,KE891,9:35,2021-03-31,2021-10-26,대한항공,옌지(연길)
월요일,TG659,9:35,2021-03-31,2021-10-26,타이항공,방콕
월요일,D7507,9:45,2021-03-31,2021-10-26,에어아시아엑스,쿠알라룸푸르
월요일,NH6994,9:45,2021-03-31,2021-05-31,전일본공수 주식회사,오키나와
월요일,OZ172,9:45,2021-03-31,2021-05-31,아시아나항공,오키나와
월요일,DL9038,9:45,2021-03-31,2021-10-26,델타항공,괌
월요일,KE113,9:45,2021-03-31,2021-10-26,대한항공,괌
월요일,7C2101,9:55,2021-03-31,2021-10-26,제주항공,홍콩
월요일,AR7861,10:00,2021-03-31,2021-10-26,아르헨티나 항공,뉴욕
월요일,OZ371,10:00,2021-03-31,2021-10-26,아시아나항공,선전
월요일,OZ347,10:00,2021-03-31,2021-10-25,아시아나항공,시안
월요일,DL1003,10:00,2021-03-31,2021-10-26,델타항공,뉴욕
월요일,DL9015,10:00,2021-03-31,2021-10-26,델타항공,뉴욕
월요일,KE081,10:00,2021-03-31,2021-10-26,대한항공,뉴욕
월요일,ZH3302,10:00,2021-03-31,2021-10-26,심천항공,선전
월요일,ZH3304,10:00,2021-03-31,2021-10-25,심천항공,시안
월요일,KE5683,10:05,2021-03-31,2021-10-26,대한항공,하노이
월요일,TW291,10:05,2021-03-31,2021-05-02,티웨이항공,후쿠오카
월요일,VN417,10:05,2021-03-31,2021-10-26,베트남항공,하노이
월요일,SU4032,10:10,2021-03-31,2021-10-26,㈜ 아에로플로트 러시아항공,블라디보스토크
월요일,AM6750,10:10,2021-03-31,2021-10-26,아에로멕시코,도쿄/ 나리타
월요일,AF7896,10:10,2021-03-31,2021-10-26,에어 프랑스,삿포로
월요일,AF7890,10:10,2021-03-31,2021-10-26,에어 프랑스,도쿄/ 나리타
월요일,TN1577,10:10,2021-03-31,2021-10-26,에어 타히티 누이,도쿄/ 나리타
월요일,DL7898,10:10,2021-03-31,2021-10-26,델타항공,삿포로
월요일,DL7885,10:10,2021-03-31,2021-10-26,델타항공,도쿄/ 나리타
월요일,JL5208,10:10,2021-03-31,2021-10-26,일본항공,삿포로
월요일,JL5202,10:10,2021-03-31,2021-10-26,일본항공,도쿄/ 나리타
월요일,7C8501,10:10,2021-03-31,2021-10-26,제주항공,웨이하이
월요일,KE765,10:10,2021-03-31,2021-10-26,대한항공,삿포로
월요일,KE703,10:10,2021-03-31,2021-10-26,대한항공,도쿄/ 나리타
월요일,KE981,10:10,2021-03-31,2021-10-26,대한항공,블라디보스토크
월요일,MM002,10:10,2021-03-31,2021-10-26,피치항공,오사카/ 간사이
월요일,KE5681,10:15,2021-03-31,2021-10-26,대한항공,호찌민
월요일,VN409,10:15,2021-03-31,2021-10-26,베트남항공,호찌민
월요일,OZ6763,10:20,2021-03-31,2021-10-26,아시아나항공,방콕
월요일,OZ222,10:20,2021-03-31,2021-10-26,아시아나항공,뉴욕
